lon,lat,presence,multi_normalized.1,multi_normalized.2,multi_normalized.3,multi_normalized.4,multi_normalized.5,multi_normalized.6,multi_normalized.7,multi_normalized.8,multi_normalized.9,multi_normalized.10,multi_normalized.11
-123.5822599,39.1612277,1,0.534565373,0.232246696,0.63860315,0.233526502,0.761981774,0.678011961,0.461399489,0.598688236,0.398635039,0.450345842,0.377577826
-123.2270969,39.1634647,0,0.515953549,0.215019492,0.538349294,0.355940947,0.403221219,0.568836508,0.578417148,0.730523099,0.465275447,0.517901574,0.437760394
-123.0480649,38.3407717,1,0.521363203,0.229784755,0.62174146,0.210113733,0.672237339,0.672978945,0.487479642,0.622847587,0.407710123,0.461291392,0.356241866
-122.8668979,38.0453507,1,0.535180059,0.226785481,0.608355912,0.222384435,0.635723783,0.699565143,0.573605028,0.619875697,0.381284762,0.447325838,0.367495308
-122.719303,38.5498734,1,0.515837689,0.215929269,0.630271528,0.286857855,0.423302182,0.672024818,0.477706315,0.727848991,0.418052942,0.511175025,0.411132784
-122.6387259,40.0279597,1,0.566509736,0.168126515,0.558631286,0.493051492,0.428517795,0.596473271,0.624363938,0.686854085,0.508270164,0.624037321,0.495101499
-122.5909499,37.9851247,1,0.526845003,0.238533497,0.594041087,0.220196175,0.495440943,0.704376567,0.551800412,0.63259626,0.441605406,0.414852352,0.402421607
-122.5109615,38.3796305,0,0.545761331,0.178800481,0.651572015,0.30653321,0.660608621,0.640096978,0.523677423,0.674707955,0.415802215,0.591444482,0.395889911
-122.4709619,37.6849387,0,0.592215171,0.186287109,0.565150746,0.303848515,0.711061494,0.747209343,0.80659742,0.488052862,0.363422446,0.509573341,0.419844062
-122.2402499,38.9787297,1,0.59606887,0.126858736,0.656249815,0.44058949,0.72429113,0.606867492,0.671827301,0.69167822,0.412128899,0.720307597,0.459992835
-122.2390059,39.7633427,1,0.60004021,0.13113246,0.689851737,0.463157378,0.556572085,0.753636286,0.634909973,0.644663156,0.439624469,0.682942404,0.506380201
-122.0649918,39.5508277,1,0.603711086,0.128699518,0.722453901,0.434307278,0.645842494,0.763539136,0.53930043,0.612221496,0.456715114,0.69372515,0.491195223
-121.8400349,38.7939347,0,0.607978679,0.11557101,0.694348079,0.465250694,0.491682861,0.786100644,0.628180308,0.643985812,0.443474503,0.725716203,0.487637708
-121.7519384,38.0878897,1,0.629627088,0.114945686,0.75002949,0.401037372,0.738084179,0.841088715,0.42360233,0.493088434,0.494841749,0.720670877,0.440932284
-121.7329536,37.6649984,1,0.616948928,0.112068641,0.628365716,0.466152973,0.751292916,0.676582262,0.762648922,0.60524038,0.401505131,0.70856275,0.457025279
-121.73284,37.665124,0,0.616948928,0.112068641,0.628365716,0.466152973,0.751292916,0.676582262,0.762648922,0.60524038,0.401505131,0.70856275,0.457025279
-121.704424,39.9935292,1,0.583085012,0.195588404,0.560289012,0.465612613,0.492308107,0.621863371,0.546694828,0.690803286,0.381183249,0.559032708,0.494369175
-121.6956939,36.4530827,1,0.588369232,0.148085267,0.540858354,0.356077829,0.740999353,0.683726947,0.776312713,0.538591072,0.362353233,0.59496853,0.320746979
-121.6093062,39.4978958,1,0.577398667,0.159916086,0.687843926,0.408365987,0.576028698,0.688375071,0.617934349,0.696877616,0.442198148,0.618672325,0.525799015
